2500106,Agua Branca
2500205,Aguiar
2500304,Alagoa Grande
2500403,Alagoa Nova
2500502,Alagoinha
2500536,Alcantil
2500577,Algodao De Jandaira
2500601,Alhandra
2500734,Amparo
2500775,Aparecida
2500809,Aracagi
2500908,Arara
2501005,Araruna
2501104,Areia
2501153,Areia De Baraunas
2501203,Areial
2501302,Aroeiras
2501351,Assuncao
2501401,Baia Da Traicao
2501500,Bananeiras
2501534,Barauna
2501609,Barra De Santa Rosa
2501575,Barra De Santana
2501708,Barra De Sao Miguel
2501807,Bayeux
2501906,Belem
2502003,Belem Do Brejo Do Cruz
2502052,Bernardino Batista
2502102,Boa Ventura
2502151,Boa Vista
2502201,Bom Jesus
2502300,Bom Sucesso
2502409,Bonito De Santa Fe
2502508,Boqueirao
2502706,Borborema
2502805,Brejo Do Cruz
2502904,Brejo Dos Santos
2503001,Caapora
2503100,Cabaceiras
2503209,Cabedelo
2503308,Cachoeira Dos Indios
2503407,Cacimba De Areia
2503506,Cacimba De Dentro
2503555,Cacimbas
2503605,Caicara
2503704,Cajazeiras
2503753,Cajazeirinhas
2503803,Caldas Brandao
2503902,Camalau
2504009,Campina Grande
2504033,Capim
2504074,Caraubas
2504108,Carrapateira
2504157,Casserengue
2504207,Catingueira
2504306,Catole Do Rocha
2504355,Caturite
2504405,Conceicao
2504504,Condado
2504603,Conde
2504702,Congo
2504801,Coremas
2504850,Coxixola
2504900,Cruz Do Espirito Santo
2505006,Cubati
2505105,Cuite
2505238,Cuite De Mamanguape
2505204,Cuitegi
2505279,Curral De Cima
2505303,Curral Velho
2505352,Damiao
2505402,Desterro
2505600,Diamante
2505709,Dona Ines
2505808,Duas Estradas
2505907,Emas
2506004,Esperanca
2506103,Fagundes
2506202,Frei Martinho
2506251,Gado Bravo
2506301,Guarabira
2506400,Gurinhem
2506509,Gurjao
2506608,Ibiara
2502607,Igaracy
2506707,Imaculada
2506806,Inga
2506905,Itabaiana
2507002,Itaporanga
2507101,Itapororoca
2507200,Itatuba
2507309,Jacarau
2507408,Jerico
2507507,Joao Pessoa
2513653,Joca Claudino
2507606,Juarez Tavora
2507705,Juazeirinho
2507804,Junco Do Serido
2507903,Juripiranga
2508000,Juru
2508109,Lagoa
2508208,Lagoa De Dentro
2508307,Lagoa Seca
2508406,Lastro
2508505,Livramento
2508554,Logradouro
2508604,Lucena
2508703,Mae Dagua
2508802,Malta
2508901,Mamanguape
2509008,Manaira
2509057,Marcacao
2509107,Mari
2509156,Marizopolis
2509206,Massaranduba
2509305,Mataraca
2509339,Matinhas
2509370,Mato Grosso
2509396,Matureia
2509404,Mogeiro
2509503,Montadas
2509602,Monte Horebe
2509701,Monteiro
2509800,Mulungu
2509909,Natuba
2510006,Nazarezinho
2510105,Nova Floresta
2510204,Nova Olinda
2510303,Nova Palmeira
2510402,Olho Dagua
2510501,Olivedos
2510600,Ouro Velho
2510659,Parari
2510709,Passagem
2510808,Patos
2510907,Paulista
2511004,Pedra Branca
2511103,Pedra Lavrada
2511202,Pedras De Fogo
2512721,Pedro Regis
2511301,Pianco
2511400,Picui
2511509,Pilar
2511608,Piloes
2511707,Piloezinhos
2511806,Pirpirituba
2511905,Pitimbu
2512002,Pocinhos
2512036,Poco Dantas
2512077,Poco De Jose De Moura
2512101,Pombal
2512200,Prata
2512309,Princesa Isabel
2512408,Puxinana
2512507,Queimadas
2512606,Quixaba
2512705,Remigio
2512747,Riachao
2512754,Riachao Do Bacamarte
2512762,Riachao Do Poco
2512788,Riacho De Santo Antonio
2512804,Riacho Dos Cavalos
2512903,Rio Tinto
2513000,Salgadinho
2513109,Salgado De Sao Felix
2513158,Santa Cecilia
2513208,Santa Cruz
2513307,Santa Helena
2513356,Santa Ines
2513406,Santa Luzia
2513703,Santa Rita
2513802,Santa Teresinha
2513505,Santana De Mangueira
2513604,Santana Dos Garrotes
2513851,Santo Andre
2513927,Sao Bentinho
2513901,Sao Bento
2513968,Sao Domingos
2513943,Sao Domingos Do Cariri
2513984,Sao Francisco
2514008,Sao Joao Do Cariri
2500700,Sao Joao Do Rio Do Peixe
2514107,Sao Joao Do Tigre
2514206,Sao Jose Da Lagoa Tapada
2514305,Sao Jose De Caiana
2514404,Sao Jose De Espinharas
2514503,Sao Jose De Piranhas
2514552,Sao Jose De Princesa
2514602,Sao Jose Do Bonfim
2514651,Sao Jose Do Brejo Do Cruz
2514701,Sao Jose Do Sabugi
2514800,Sao Jose Dos Cordeiros
2514453,Sao Jose Dos Ramos
2514909,Sao Mamede
2515005,Sao Miguel De Taipu
2515104,Sao Sebastiao De Lagoa De Roca
2515203,Sao Sebastiao Do Umbuzeiro
2515401,Sao Vicente Do Serido
2515302,Sape
2515500,Serra Branca
2515609,Serra Da Raiz
2515708,Serra Grande
2515807,Serra Redonda
2515906,Serraria
2515930,Sertaozinho
2515971,Sobrado
2516003,Solanea
2516102,Soledade
2516151,Sossego
2516201,Sousa
2516300,Sume
2516409,Tacima
2516508,Taperoa
2516607,Tavares
2516706,Teixeira
2516755,Tenorio
2516805,Triunfo
2516904,Uirauna
2517001,Umbuzeiro
2517100,Varzea
2517209,Vieiropolis
2505501,Vista Serrana
2517407,Zabele
