2700102,Agua Branca
2700201,Anadia
2700300,Arapiraca
2700409,Atalaia
2700508,Barra De Santo Antonio
2700607,Barra De Sao Miguel
2700706,Batalha
2700805,Belem
2700904,Belo Monte
2701001,Boca Da Mata
2701100,Branquinha
2701209,Cacimbinhas
2701308,Cajueiro
2701357,Campestre
2701407,Campo Alegre
2701506,Campo Grande
2701605,Canapi
2701704,Capela
2701803,Carneiros
2701902,Cha Preta
2702009,Coite Do Noia
2702108,Colonia Leopoldina
2702207,Coqueiro Seco
2702306,Coruripe
2702355,Craibas
2702405,Delmiro Gouveia
2702504,Dois Riachos
2702553,Estrela De Alagoas
2702603,Feira Grande
2702702,Feliz Deserto
2702801,Flexeiras
2702900,Girau Do Ponciano
2703007,Ibateguara
2703106,Igaci
2703205,Igreja Nova
2703304,Inhapi
2703403,Jacare Dos Homens
2703502,Jacuipe
2703601,Japaratinga
2703700,Jaramataia
2703759,Jequia Da Praia
2703809,Joaquim Gomes
2703908,Jundia
2704005,Junqueiro
2704104,Lagoa Da Canoa
2704203,Limoeiro De Anadia
2704302,Maceio
2704401,Major Isidoro
2704906,Mar Vermelho
2704500,Maragogi
2704609,Maravilha
2704708,Marechal Deodoro
2704807,Maribondo
2705002,Mata Grande
2705101,Matriz De Camaragibe
2705200,Messias
2705309,Minador Do Negrao
2705408,Monteiropolis
2705507,Murici
2705606,Novo Lino
2705705,Olho Dagua Das Flores
2705804,Olho Dagua Do Casado
2705903,Olho Dagua Grande
2706000,Olivenca
2706109,Ouro Branco
2706208,Palestina
2706307,Palmeira Dos Indios
2706406,Pao De Acucar
2706422,Pariconha
2706448,Paripueira
2706505,Passo De Camaragibe
2706604,Paulo Jacinto
2706703,Penedo
2706802,Piacabucu
2706901,Pilar
2707008,Pindoba
2707107,Piranhas
2707206,Poco Das Trincheiras
2707305,Porto Calvo
2707404,Porto De Pedras
2707503,Porto Real Do Colegio
2707602,Quebrangulo
2707701,Rio Largo
2707800,Roteiro
2707909,Santa Luzia Do Norte
2708006,Santana Do Ipanema
2708105,Santana Do Mundau
2708204,Sao Bras
2708303,Sao Jose Da Laje
2708402,Sao Jose Da Tapera
2708501,Sao Luis Do Quitunde
2708600,Sao Miguel Dos Campos
2708709,Sao Miguel Dos Milagres
2708808,Sao Sebastiao
2708907,Satuba
2708956,Senador Rui Palmeira
2709004,Tanque Darca
2709103,Taquarana
2709152,Teotonio Vilela
2709202,Traipu
2709301,Uniao Dos Palmares
2709400,Vicosa
